Country,Income_group,Code,Year,Cereal_energy_share,GDP,Population
Afghanistan,Low income,AFG,-9000,NA,NA,20405
Afghanistan,Low income,AFG,-8000,NA,NA,28253
Afghanistan,Low income,AFG,1884,NA,NA,4441869
Afghanistan,Low income,AFG,1800,NA,NA,3280000
Afghanistan,Low income,AFG,1921,NA,NA,10531818
Afghanistan,Low income,AFG,-7000,NA,NA,39120
Afghanistan,Low income,AFG,1883,NA,NA,4419835
Afghanistan,Low income,AFG,-10000,NA,NA,14737
Afghanistan,Low income,AFG,1880,NA,NA,4354370
Afghanistan,Low income,AFG,1879,NA,NA,4332759
Afghanistan,Low income,AFG,2020,NA,1970.56018066406,38972236
Afghanistan,Low income,AFG,1920,NA,NA,10558857
Afghanistan,Low income,AFG,1910,NA,NA,5681487
Afghanistan,Low income,AFG,1898,NA,NA,4761826
Afghanistan,Low income,AFG,1885,NA,NA,4464010
Afghanistan,Low income,AFG,1780,NA,NA,2998015
Afghanistan,Low income,AFG,1886,NA,NA,4486259
Afghanistan,Low income,AFG,-6000,NA,NA,54166
Afghanistan,Low income,AFG,1897,NA,NA,4738246
Afghanistan,Low income,AFG,1881,NA,NA,4376086
Afghanistan,Low income,AFG,1770,NA,NA,2931400
Afghanistan,Low income,AFG,2015,NA,2068.26586914062,33753500
Afghanistan,Low income,AFG,1000,NA,NA,2250002
Afghanistan,Low income,AFG,1922,NA,NA,10252425
Afghanistan,Low income,AFG,1843,NA,NA,3634711
Afghanistan,Low income,AFG,1801,NA,NA,3280000
Afghanistan,Low income,AFG,1923,NA,NA,9714452
Afghanistan,Low income,AFG,1100,NA,NA,2375009
Afghanistan,Low income,AFG,-5000,NA,NA,74999
Afghanistan,Low income,AFG,-4000,NA,NA,306250
Afghanistan,Low income,AFG,2018,NA,2033.80444335938,36686788
Afghanistan,Low income,AFG,2019,NA,2065.0361328125,37769496
Afghanistan,Low income,AFG,1882,NA,NA,4397907
Afghanistan,Low income,AFG,1909,NA,NA,5467828
Afghanistan,Low income,AFG,-1000,NA,NA,999998
Afghanistan,Low income,AFG,1918,NA,NA,9875230
Afghanistan,Low income,AFG,1919,NA,NA,10338650
Afghanistan,Low income,AFG,1842,NA,NA,3618522
Afghanistan,Low income,AFG,1844,NA,NA,3650971
Afghanistan,Low income,AFG,1790,NA,NA,3066156
Afghanistan,Low income,AFG,1887,NA,NA,4508616
Afghanistan,Low income,AFG,1802,NA,NA,3280000
Afghanistan,Low income,AFG,1888,NA,NA,4531082
Afghanistan,Low income,AFG,1889,NA,NA,4553657
Afghanistan,Low income,AFG,2017,NA,2058.40014648438,35643420
Afghanistan,Low income,AFG,2016,NA,2057.06787109375,34636212
Afghanistan,Low income,AFG,2014,NA,2102.38452148438,32716214
Afghanistan,Low income,AFG,1908,NA,NA,5330065
Afghanistan,Low income,AFG,1894,NA,NA,4668186
Afghanistan,Low income,AFG,1893,NA,NA,4645058
Afghanistan,Low income,AFG,1811,NA,NA,3280000
Afghanistan,Low income,AFG,1955,NA,NA,7971933
Afghanistan,Low income,AFG,1956,NA,NA,8087730
Afghanistan,Low income,AFG,1847,NA,NA,3700191
Afghanistan,Low income,AFG,1846,NA,NA,3683711
Afghanistan,Low income,AFG,1966,NA,NA,9783153
Afghanistan,Low income,AFG,1924,NA,NA,9204707
Afghanistan,Low income,AFG,-3000,NA,NA,537500
Afghanistan,Low income,AFG,1760,NA,NA,2866257
Afghanistan,Low income,AFG,1896,NA,NA,4714779
Afghanistan,Low income,AFG,1917,NA,NA,9171589
Afghanistan,Low income,AFG,2000,74,NA,19542986
Afghanistan,Low income,AFG,2001,76,NA,19688634
Afghanistan,Low income,AFG,2002,77,1189.78466796875,21000258
Afghanistan,Low income,AFG,1812,NA,NA,3280000
Afghanistan,Low income,AFG,1300,NA,NA,1749998
Afghanistan,Low income,AFG,1845,NA,NA,3667305
Afghanistan,Low income,AFG,1903,NA,NA,4998861
Afghanistan,Low income,AFG,1700,NA,NA,2500001
Afghanistan,Low income,AFG,1710,NA,NA,2561614
Afghanistan,Low income,AFG,1925,NA,NA,8721710
Afghanistan,Low income,AFG,1750,NA,NA,2802568
Afghanistan,Low income,AFG,2013,NA,2116.46533203125,31541216
Afghanistan,Low income,AFG,-2000,NA,NA,768751
Afghanistan,Low income,AFG,2011,77,1904.55993652344,29249156
Afghanistan,Low income,AFG,1877,NA,NA,4289851
Afghanistan,Low income,AFG,1878,NA,NA,4311253
Afghanistan,Low income,AFG,1954,NA,NA,7864289
Afghanistan,Low income,AFG,1809,NA,NA,3280000
Afghanistan,Low income,AFG,1900,NA,NA,4832414
Afghanistan,Low income,AFG,1959,NA,NA,8468220
Afghanistan,Low income,AFG,1960,NA,NA,8622473
Afghanistan,Low income,AFG,1961,NA,NA,8790140
Afghanistan,Low income,AFG,1967,NA,NA,10010037
Afghanistan,Low income,AFG,1890,NA,NA,4576341
Afghanistan,Low income,AFG,1895,NA,NA,4691426
Afghanistan,Low income,AFG,1916,NA,NA,8524936
Afghanistan,Low income,AFG,1892,NA,NA,4622041
Afghanistan,Low income,AFG,1851,NA,NA,3769828
Afghanistan,Low income,AFG,1852,NA,NA,3787706
Afghanistan,Low income,AFG,1853,NA,NA,3806634
Afghanistan,Low income,AFG,1866,NA,NA,4061270
Afghanistan,Low income,AFG,1200,NA,NA,2500001
Afghanistan,Low income,AFG,1902,NA,NA,4935122
Afghanistan,Low income,AFG,300,NA,NA,2500001
Afghanistan,Low income,AFG,1904,NA,NA,5063419
Afghanistan,Low income,AFG,500,NA,NA,2500001
Afghanistan,Low income,AFG,1968,NA,NA,10247782
Afghanistan,Low income,AFG,1740,NA,NA,2740283
Afghanistan,Low income,AFG,1891,NA,NA,4599136
Afghanistan,Low income,AFG,800,NA,NA,2350008
Afghanistan,Low income,AFG,1998,74,NA,18493134
Afghanistan,Low income,AFG,1907,NA,NA,5262120
Afghanistan,Low income,AFG,1997,74,NA,17788818
Afghanistan,Low income,AFG,1953,NA,NA,7764549
Afghanistan,Low income,AFG,1974,NA,NA,11869881
Afghanistan,Low income,AFG,2005,77,1286.79370117188,24411196
Afghanistan,Low income,AFG,2006,76,1315.7890625,25442946
Afghanistan,Low income,AFG,2007,77,1460.82580566406,25903306
Afghanistan,Low income,AFG,1911,NA,NA,5977589
Afghanistan,Low income,AFG,1913,NA,NA,6845878
Afghanistan,Low income,AFG,1804,NA,NA,3280000
Afghanistan,Low income,AFG,1915,NA,NA,7923871
Afghanistan,Low income,AFG,2012,NA,2075.49169921875,30466484
Afghanistan,Low income,AFG,1839,NA,NA,3570389
Afghanistan,Low income,AFG,1840,NA,NA,3586362
Afghanistan,Low income,AFG,1841,NA,NA,3602406
Afghanistan,Low income,AFG,1808,NA,NA,3280000
Afghanistan,Low income,AFG,1865,NA,NA,4041107
Afghanistan,Low income,AFG,1810,NA,NA,3280000
Afghanistan,Low income,AFG,1899,NA,NA,4793171
Afghanistan,Low income,AFG,1957,NA,NA,8210207
Afghanistan,Low income,AFG,1958,NA,NA,8333827
Afghanistan,Low income,AFG,1962,NA,NA,8969055
Afghanistan,Low income,AFG,1730,NA,NA,2679387
Afghanistan,Low income,AFG,1964,NA,NA,9355510
Afghanistan,Low income,AFG,1805,NA,NA,3280000
Afghanistan,Low income,AFG,1927,NA,NA,7830419
Afghanistan,Low income,AFG,1806,NA,NA,3280000
Afghanistan,Low income,AFG,1807,NA,NA,3280000
Afghanistan,Low income,AFG,900,NA,NA,2299999
Afghanistan,Low income,AFG,1973,NA,NA,11575308
Afghanistan,Low income,AFG,1867,NA,NA,4081532
Afghanistan,Low income,AFG,1868,NA,NA,4101893
Afghanistan,Low income,AFG,1901,NA,NA,4879685
Afghanistan,Low income,AFG,400,NA,NA,2500001
Afghanistan,Low income,AFG,200,NA,NA,2500001
Afghanistan,Low income,AFG,1963,NA,NA,9157463
Afghanistan,Low income,AFG,2021,NA,NA,40099460
Afghanistan,Low income,AFG,1999,74,NA,19262854
Afghanistan,Low income,AFG,1864,NA,NA,4021041
Afghanistan,Low income,AFG,1863,NA,NA,4001072
Afghanistan,Low income,AFG,1996,74,NA,17106600
Afghanistan,Low income,AFG,1836,NA,NA,3522896
Afghanistan,Low income,AFG,1995,75,NA,16418911
Afghanistan,Low income,AFG,1930,NA,NA,6866773
Afghanistan,Low income,AFG,1854,NA,NA,3825655
Afghanistan,Low income,AFG,1912,NA,NA,6363186
Afghanistan,Low income,AFG,1500,NA,NA,1999997
Afghanistan,Low income,AFG,1874,NA,NA,4226265
Afghanistan,Low income,AFG,2008,78,1484.11450195312,26427204
Afghanistan,Low income,AFG,2009,78,1758.90441894531,27385310
Afghanistan,Low income,AFG,2010,77,1957.02905273438,28189672
Afghanistan,Low income,AFG,1720,NA,NA,2619846
Afghanistan,Low income,AFG,1835,NA,NA,3507205
Afghanistan,Low income,AFG,1876,NA,NA,4268552
Afghanistan,Low income,AFG,1972,NA,NA,11286753
Afghanistan,Low income,AFG,1952,NA,NA,7667534
Afghanistan,Low income,AFG,1824,NA,NA,3339157
Afghanistan,Low income,AFG,1825,NA,NA,3354095
Afghanistan,Low income,AFG,1813,NA,NA,3280000
Afghanistan,Low income,AFG,1815,NA,NA,3280000
Afghanistan,Low income,AFG,100,NA,NA,2250002
Afghanistan,Low income,AFG,1816,NA,NA,3280000
Afghanistan,Low income,AFG,1905,NA,NA,5128808
Afghanistan,Low income,AFG,600,NA,NA,2500001
Afghanistan,Low income,AFG,1926,NA,NA,8264058
Afghanistan,Low income,AFG,1849,NA,NA,3734342
Afghanistan,Low income,AFG,1850,NA,NA,3752993
